id,name,short_url,price,original_price,rating_average,review_count,inventory_status,inventory_type,brand_name,camera_sau,camera_truoc,chip_do_hoa,chip_set,cpu_speed,dimensions,display_type,origin,product_weight,ram,resolution,rom,wifi,Time
9545383,Ốp lưng dành cho điện thoại IPHONE XR Cánh Bướm Xanh Mẫu 1,https://tiki.vn/product-p9545383.html?spid=9545384,46121,46121,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
9986650,Ốp lưng dành cho điện thoại IPHONE XS Baby anh Bicycle Mẫu 1,https://tiki.vn/product-p9986650.html?spid=9986651,79000,79000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
9986479,Ốp lưng dành cho điện thoại IPHONE 5C Baby anh Bicycle Mẫu 1,https://tiki.vn/product-p9986479.html?spid=9986480,79000,79000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
11941506,Ốp lưng dành cho điện thoại IPHONE XS Siêu Anh Hùng Mẫu 1,https://tiki.vn/product-p11941506.html?spid=11941507,79000,79000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
19695193,Ốp lưng cho iPhone 8 Plus mẫu  CÂY 1 - Hàng chính hãng,https://tiki.vn/product-p19695193.html?spid=19695196,95000,95000,0,0,available,backorder,OLSG,,,,,,,,Việt Nam,,,,,,2022-5-5
6829207,Ốp lưng dẻo AFF Cup cho Apple iPhone 6 / 6s _Mẫu 1,https://tiki.vn/product-p6829207.html?spid=53742715,39000,39000,0,0,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
124742926,Apple MacBook Air M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,https://tiki.vn/product-p124742926.html?spid=73795625,23500000,23500000,5,673,available,instock,Apple,,,,,,,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 400 nits brightness; Wide color (P3); True Tone technology,Trung Quốc,,8GB,,,802.11ax Wi-Fi 6 wireless networking,2022-5-5
124742926,Apple MacBook Air M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,https://tiki.vn/product-p124742926.html?spid=73795625,23500000,23500000,5,673,available,instock,Apple,,,,,,,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 400 nits brightness; Wide color (P3); True Tone technology,Trung Quốc,,8GB,,,802.11ax Wi-Fi 6 wireless networking,2022-5-5
144870451,Apple MacBook Pro M1 PRO 2021 - 16 Inchs (M1 PRO - 16GB / 32GB - 512GB / 1TB) - Hàng Chính Hãng,https://tiki.vn/product-p144870451.html?spid=144870455,60000000,60000000,4.7,6,available,instock,Apple,,,,Apple M1 Pro,,<p>1.68 x 35.57 x 24.81 cm</p>,"120Hz, Liquid Retina, Mini LED, XDR",Trung Quốc,2.1kg,16GB,,,802.11ax Wi-Fi 6,2022-5-5
144923785,Apple MacBook Pro M1 PRO 2021 - 14 Inchs (M1 PRO - 16GB - 512GB/ 1TB) - Hàng Chính Hãng,https://tiki.vn/product-p144923785.html?spid=144923789,49190000,49399000,5,33,available,instock,Apple,,,,Apple M1 Pro,,<p>1.55 x 31.26 x 22.12 cm</p>,"120Hz, Liquid Retina, Mini LED, XDR",Trung Quốc,1.6kg,16GB,,,802.11ax Wi-Fi 6,2022-5-5
125013938,Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,https://tiki.vn/product-p125013938.html?spid=73795657,30500000,30500000,4.8,496,available,instock,Apple,,,,Apple M1,,<p>1.56 cm x 30.41 cm x 21.24 cm</p>,"LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3), True Tone technology",Trung Quốc,1.4 kg,8GB unified memory,WQXGA (2560 x 1600),,802.11ax WI-FI 6 wireless networking; IEEE 802.11a/b/g/n/ac compatible; Bluetooth 5.0 wireless technology,2022-5-5
125013938,Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,https://tiki.vn/product-p125013938.html?spid=73795657,30500000,30500000,4.8,496,available,instock,Apple,,,,Apple M1,,<p>1.56 cm x 30.41 cm x 21.24 cm</p>,"LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3), True Tone technology",Trung Quốc,1.4 kg,8GB unified memory,WQXGA (2560 x 1600),,802.11ax WI-FI 6 wireless networking; IEEE 802.11a/b/g/n/ac compatible; Bluetooth 5.0 wireless technology,2022-5-5
159848413,"Dán Chống Trộm Wiwu Magnetic Privacy Protector Dành Cho Macbook Chống Trầy Xước, Chống Lóa - Hàng Chính Hãng",https://tiki.vn/product-p159848413.html?spid=159848417,700000,700000,0,0,available,backorder,WIWU,,,,,,,,Trung Quốc,,,,,,2022-5-5
105038687,"Bộ dán JCPAL 5 in 1 cho New Macbook Pro 13"" năm (2020-2021), Macbook Pro M1 ( model A2251 ,A2289 , A2338))",https://tiki.vn/product-p105038687.html?spid=105038700,550000,550000,5,1,available,backorder,OEM,,,,,,,,Việt Nam,,,,,,2022-5-5
